"","participantID","dot","dobMonth","dobDay","dobYear","raceEthnicity","raceEthnicityDescription","gender","genderDescription","ses","CRA1","CRA2","CRA3","CRA4","CRA5","CRA6","CRA7","CRA8","HCRA1","HCRA2","HCRA3","HCRA4","HCRA5","HCRA6","DS1","DS2","DS3","DS4","DS5","PSS1","PSS2","PSS3","PSS4","MSES","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","meanCRA","meanHCRA","sumDS","meanPSS","meanMQ","sumExtraversion","sumNeuroticism","raceEthnicity2","dob","dot2","age"
"1",1,"2023-04-18",12,7,2000,"Hispanic, Latino/Latina/Latinx, or Spanish origin",NA,"Cisgender Female",NA,"$20,001- $30,000",5,5,3,5,5,5,4,5,5,6,4,6,5,5,1,2,1,1,1,3,3,2,4,5,5,1,3,4,1,4,4,3,3,4,5,4,5,3,3,2,2,5,3,4,2,4,5,4,4,2,5,5,2,4,3,4,5,4,3,2,5,3,2,3,3,4,4,3,4,1,5,4,2,2,2,4,4,4,3,4,3,3,4,4.625,5.16666666666667,6,3,3.46666666666667,17,24,"Other",2000-12-07,2023-04-18,22.3616438356164
"2",2,"2023-04-18",1,3,2003,"Black or African American","East African","Do not wish to disclose",NA,"$100,001- $200,000",7,7,4,7,7,7,7,7,7,7,4,7,7,7,1,4,1,1,1,3,3,1,4,7,3,1,2,3,3,5,4,4,3,4,5,5,4,4,3,5,2,4,2,3,2,1,3,2,4,5,3,4,3,4,5,5,1,4,4,4,5,1,1,5,4,5,2,2,5,1,3,5,2,3,5,3,3,3,5,3,4,1,3,6.625,6.5,8,2.75,3.53333333333333,31,19,"Other",2003-01-03,2023-04-18,20.2876712328767
"3",3,"2023-04-18",6,17,2001,"Black or African American","Black","Cisgender Female",NA,"$20,001- $30,000",2,2,4,3,1,4,4,2,6,2,5,6,5,6,3,1,3,1,1,3,4,4,5,4,6,3,6,4,2,5,5,5,2,3,2,3,6,4,2,5,5,4,5,3,2,5,4,3,5,4,5,4,4,4,5,1,2,5,5,3,5,1,5,3,1,5,4,5,5,2,5,4,2,3,5,5,4,5,5,1,5,1,4,2.75,5,9,4,3.86666666666667,27,34,"Other",2001-06-17,2023-04-18,21.8356164383562
"4",4,"2023-04-18",5,31,2004,"Asian",NA,"Cisgender Female",NA,"Above $200,000",4,3,3,6,5,5,3,5,6,4,5,6,6,3,3,2,4,2,2,3,2,3,4,5,4,3,2,4,5,5,5,5,5,3,5,2,4,2,1,3,2,5,3,4,2,4,2,3,4,4,2,5,4,5,5,5,2,4,4,1,5,2,3,4,4,1,4,5,4,1,5,4,3,3,2,3,2,4,3,2,4,2,4,4.25,5,13,3,3.66666666666667,22,29,"Other",2004-05-31,2023-04-18,18.8821917808219
"5",5,"2023-04-18",7,9,2000,"Black or African American",NA,"Cisgender Female",NA,"$100,001- $200,000",6,3,6,2,2,4,6,2,2,2,2,2,3,3,3,1,1,2,2,3,2,3,3,6,2,1,4,3,4,6,3,3,4,2,2,2,5,3,1,3,2,3,3,2,3,4,4,5,2,2,4,4,4,2,3,2,4,5,5,3,2,2,4,3,2,4,2,2,4,3,4,4,2,4,4,2,3,5,3,4,4,2,2,3.875,2.33333333333333,9,2.75,3,23,30,"Other",2000-07-09,2023-04-18,22.7753424657534
"6",6,"2023-04-19",11,17,2002,"Black or African American",NA,"Cisgender Female",NA,"$20,001- $30,000",7,6,4,5,5,5,6,5,6,6,6,5,5,6,3,4,3,3,3,4,4,4,4,5,6,4,5,5,5,5,5,5,5,5,5,5,5,4,NA,5,3,4,3,3,5,4,3,4,5,3,3,3,3,3,NA,3,3,4,3,4,1,5,NA,NA,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5.375,5.66666666666667,16,4,NA,NA,NA,"Other",2002-11-17,2023-04-19,20.4191780821918
"7",7,"2023-04-18",5,15,2003,"Black or African American",NA,"Cisgender Female",NA,"$100,001- $200,000",7,7,6,7,7,7,7,7,6,6,6,6,6,6,1,2,1,1,2,1,1,2,2,8,2,1,1,1,3,1,3,3,5,2,5,6,5,3,5,5,1,4,1,5,4,3,3,3,5,4,5,4,1,4,4,4,3,2,4,4,5,2,2,5,4,5,4,2,5,2,5,4,3,2,5,4,2,3,5,5,5,3,5,6.875,6,7,1.5,3.06666666666667,32,17,"Other",2003-05-15,2023-04-18,19.9260273972603
"8",8,"2023-04-18",1,11,2002,"Asian",NA,"Cisgender Female",NA,"$40,001 - $50,000",7,2,5,6,7,2,6,7,7,7,7,7,7,7,2,1,2,2,3,3,2,3,3,2,6,6,6,6,6,5,5,2,6,6,6,2,6,6,1,2,1,3,3,1,2,3,2,3,4,3,5,3,3,1,2,5,4,4,4,1,3,2,3,1,2,2,5,3,2,1,4,5,1,1,2,4,1,5,4,5,4,2,2,5.25,7,10,2.75,5,15,25,"Other",2002-01-11,2023-04-18,21.2657534246575
"9",9,"2023-04-18",11,17,2000,"Black or African American",NA,"Cisgender Female",NA,"$10,001 - $20,000",6,6,3,6,3,5,4,4,3,3,5,5,5,5,2,1,1,1,1,2,1,2,2,6,2,2,2,6,2,1,3,4,3,2,2,5,4,4,3,4,3,4,3,3,2,4,2,2,5,2,4,3,2,3,3,2,4,2,4,2,4,2,2,2,5,3,3,2,4,1,4,3,2,2,2,3,4,4,3,3,4,3,2,4.625,4.33333333333333,6,1.75,3,21,19,"Other",2000-11-17,2023-04-18,22.4164383561644
"10",10,"2023-04-18",8,12,2001,"Asian",NA,"Cisgender Female",NA,"$100,001- $200,000",2,2,1,4,2,3,6,1,4,4,2,3,4,1,3,4,4,2,1,3,2,3,3,4,4,5,4,5,2,1,3,3,2,2,6,1,5,2,3,5,1,4,2,1,5,4,4,2,5,4,5,5,4,5,4,5,2,5,5,3,4,1,2,1,2,4,3,2,5,1,5,4,2,2,4,4,5,5,5,5,5,1,5,2.625,3,14,2.75,3.2,28,24,"Other",2001-08-12,2023-04-18,21.6821917808219
