"{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID8""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID9""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID5_12""}","{""ImportId"":""QID5_13""}","{""ImportId"":""QID5_14""}","{""ImportId"":""QID5_15""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_6""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID37_8""}","{""ImportId"":""QID37_9""}","{""ImportId"":""QID37_10""}","{""ImportId"":""QID37_11""}","{""ImportId"":""QID37_12""}","{""ImportId"":""QID37_13""}","{""ImportId"":""QID37_14""}","{""ImportId"":""QID37_15""}","{""ImportId"":""QID37_16""}","{""ImportId"":""QID37_17""}","{""ImportId"":""QID37_18""}","{""ImportId"":""QID37_19""}","{""ImportId"":""QID37_20""}","{""ImportId"":""QID37_21""}","{""ImportId"":""QID37_22""}","{""ImportId"":""QID37_23""}","{""ImportId"":""QID37_24""}","{""ImportId"":""QID37_25""}","{""ImportId"":""QID37_26""}","{""ImportId"":""QID37_27""}","{""ImportId"":""QID37_28""}","{""ImportId"":""QID37_29""}","{""ImportId"":""QID37_30""}","{""ImportId"":""QID37_31""}","{""ImportId"":""QID37_32""}","{""ImportId"":""QID37_33""}","{""ImportId"":""QID37_34""}","{""ImportId"":""QID37_35""}","{""ImportId"":""QID37_36""}","{""ImportId"":""QID37_37""}","{""ImportId"":""QID37_38""}","{""ImportId"":""QID37_39""}","{""ImportId"":""QID37_40""}","{""ImportId"":""QID37_41""}","{""ImportId"":""QID37_42""}","{""ImportId"":""QID37_43""}","{""ImportId"":""QID37_44""}"
1,4/18/23,September,7,2000,"Hispanic, Latino/Latina/Latinx, or Spanish origin",,Cisgender Female,,"$20,001- $30,000",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Sometimes,Sometimes,Fairly Often,Fairly Often,5,Very Frequently,Almost Never,Somewhat Infrequently,Somewhat Frequently,Almost Never,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Somewhat Infrequently,Somewhat Infrequently,Disagree,Agree,Agree a lot,Neutral,Agree,Agree,Agree,Disagree a lot,Disagree,Agree,Disagree,Disagree a lot,Agree a lot,Disagree,Agree,Neutral,Agree,Disagree a lot,Agree,Neutral,Agree,Agree a lot,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree a lot,Agree a lot,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree
2,4/18/23,April,3,2003,Black or African American,East African,Do not wish to disclose,,"$100,001- $200,000",Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Rarely or none of the time (less than 1 day),Most or all of the time (5-7 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Sometimes,Sometimes,Very Often,Fairly Often,7,Somewhat Infrequently,Almost Never,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Very Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Frequently,Very Frequently,Very Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Agree a lot,Agree,Agree,Disagree,Neutral,Agree,Disagree a lot,Neutral,Agree,Agree,Agree a lot,Neutral,Agree,Neutral,Agree,Agree a lot,Agree a lot,Agree a lot,Agree,Agree,Disagree,Agree a lot,Agree a lot,Agree a lot,Agree a lot,Agree,Disagree a lot,Disagree,Disagree,Agree a lot,Agree a lot,Neutral,Agree a lot,Agree,Neutral,Agree a lot,Neutral,Neutral,Neutral,Agree a lot,Neutral,Agree,Agree a lot,Neutral
3,4/18/23,July,17,2001,Black or African American,Black,Cisgender Female,,"$20,001- $30,000",Disagree,Disagree,Neutral,Somewhat disagree,Strongly disagree,Neutral,Neutral,Disagree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Sometimes,Almost Never,Almost Never,Very Often,4,Almost Always,Somewhat Infrequently,Almost Always,Somewhat Frequently,Very Infrequently,Very Frequently,Very Frequently,Very Frequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Somewhat Infrequently,Almost Always,Somewhat Frequently,Very Infrequently,Agree a lot,Disagree a lot,Agree,Agree a lot,Neutral,Agree,Agree a lot,Disagree,Neutral,Agree a lot,Agree,Disagree a lot,Agree,Agree,Agree,Agree a lot,Disagree a lot,Agree,Agree a lot,Agree a lot,Neutral,Agree a lot,Agree a lot,Disagree a lot,Neutral,Disagree a lot,Disagree a lot,Agree,Agree a lot,Agree a lot,Agree,Agree a lot,Agree,Agree,Neutral,Agree a lot,Disagree a lot,Agree,Agree a lot,Agree a lot,Agree a lot,Agree a lot,Agree a lot,Agree
4,4/18/23,January,31,2004,Asian,,Cisgender Female,,"Above $200,000",Neutral,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Occasionally or moderate amount of time (3-4 days),Some or a little of the time (1-2 days),Most or all of the time (5-7 days),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Sometimes,Fairly Often,Sometimes,Fairly Often,5,Somewhat Frequently,Somewhat Infrequently,Very Infrequently,Somewhat Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Infrequently,Very Frequently,Very Infrequently,Somewhat Frequently,Very Infrequently,Almost Never,Neutral,Agree,Agree a lot,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree a lot,Agree,Agree a lot,Agree a lot,Agree a lot,Agree,Agree,Agree,Agree a lot,Agree a lot,Agree,Neutral,Agree,Agree,Agree a lot,Agree,Agree a lot,Agree,Agree a lot,Agree a lot,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree
5,4/18/23,June,9,2000,Black or African American,,Cisgender Female,,"$100,001- $200,000",Agree,Somewhat disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Sometimes,Fairly Often,Sometimes,Sometimes,6,Very Infrequently,Almost Never,Somewhat Frequently,Somewhat Infrequently,Somewhat Frequently,Almost Always,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Infrequently,Very Infrequently,Very Infrequently,Very Frequently,Somewhat Infrequently,Almost Never,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Disagree a lot,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree a lot,Agree a lot,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree a lot,Neutral,Disagree,Agree,Agree,Disagree
6,4/19/23,October,17,2002,Black or African American,,Cisgender Female,,"$20,001- $30,000",Strongly agree,Agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Occasionally or moderate amount of time (3-4 days),Most or all of the time (5-7 days),Occasionally or moderate amount of time (3-4 days),Occasionally or moderate amount of time (3-4 days),Occasionally or moderate amount of time (3-4 days),Fairly Often,Almost Never,Almost Never,Fairly Often,5,Almost Always,Somewhat Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Frequently,,Agree a lot,Neutral,Agree,Neutral,Neutral,Disagree a lot,Agree,Neutral,Disagree,Agree a lot,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Agree,Neutral,Disagree,Disagree a lot,Disagree a lot,,,Disagree,Agree,Agree,Neutral,,,,,,,,Disagree a lot,,,,,,,
7,4/18/23,January,15,2003,Black or African American,,Cisgender Female,,"$100,001- $200,000",Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Never,Very Often,Fairly Often,Almost Never,8,Very Infrequently,Almost Never,Almost Never,Almost Never,Somewhat Infrequently,Almost Never,Somewhat Infrequently,Somewhat Infrequently,Very Frequently,Very Infrequently,Very Frequently,Almost Always,Very Frequently,Somewhat Infrequently,Very Frequently,Agree a lot,Agree a lot,Agree,Disagree a lot,Agree a lot,Disagree,Neutral,Neutral,Neutral,Agree a lot,Agree,Disagree a lot,Agree,Disagree a lot,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree a lot,Agree,Agree,Agree a lot,Agree,Disagree a lot,Agree,Disagree,Agree a lot,Agree,Agree a lot,Agree,Neutral,Agree,Agree a lot,Disagree,Disagree,Neutral,Agree a lot,Disagree a lot,Agree a lot,Neutral,Agree a lot
8,4/18/23,April,11,2002,Asian,,Cisgender Female,,"$40,001 - $50,000",Strongly agree,Disagree,Somewhat agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Occasionally or moderate amount of time (3-4 days),Sometimes,Fairly Often,Sometimes,Sometimes,2,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Very Frequently,Very Frequently,Very Infrequently,Almost Always,Almost Always,Almost Always,Very Infrequently,Almost Always,Almost Always,Almost Never,Disagree,Agree a lot,Neutral,Neutral,Disagree a lot,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree a lot,Neutral,Neutral,Disagree a lot,Disagree,Agree a lot,Disagree,Agree,Agree,Agree a lot,Neutral,Agree,Neutral,Disagree a lot,Disagree,Agree,Agree a lot,Neutral,Disagree,Agree a lot,Agree,Agree a lot,Agree a lot,Agree a lot,Disagree,Disagree,Disagree a lot,Agree a lot,Agree,Disagree a lot,Agree,Agree,Disagree
9,4/18/23,October,17,2000,Black or African American,,Cisgender Female,,"$10,001 - $20,000",Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Almost Never,Very Often,Fairly Often,Almost Never,6,Very Infrequently,Very Infrequently,Very Infrequently,Almost Always,Very Infrequently,Almost Never,Somewhat Infrequently,Somewhat Frequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Very Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree a lot,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree a lot,Neutral,Neutral,Disagree,Agree,Agree a lot,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree
10,4/18/23,March,12,2001,Asian,,Cisgender Female,,"$100,001- $200,000",Disagree,Disagree,Strongly disagree,Neutral,Disagree,Somewhat disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Occasionally or moderate amount of time (3-4 days),Most or all of the time (5-7 days),Most or all of the time (5-7 days),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Sometimes,Fairly Often,Sometimes,Sometimes,4,Somewhat Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Very Infrequently,Almost Never,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Almost Always,Almost Never,Very Frequently,Very Infrequently,Somewhat Infrequently,Agree a lot,Agree a lot,Agree,Disagree,Disagree a lot,Disagree a lot,Agree,Disagree,Agree,Agree a lot,Agree,Disagree a lot,Agree a lot,Agree,Agree a lot,Agree,Agree a lot,Agree,Agree a lot,Agree a lot,Neutral,Agree,Agree a lot,Agree,Disagree a lot,Disagree,Disagree,Neutral,Disagree,Agree a lot,Agree a lot,Agree a lot,Agree,Agree,Agree,Agree,Disagree,Agree a lot,Agree a lot,Agree a lot,Disagree a lot,Agree a lot,Agree a lot,Agree a lot
